k,algorithm,avg_infected,avg_rounds,seed_time_ms
2,SPR,251.8,16.0,42.80996322631836
2,P+,252.08,15.98,1.1227130889892578
2,P±,251.24,15.98,1.115560531616211
2,SRWR,248.2,16.0,902.7810096740723
2,SVIM-L,246.36,16.0,9.490728378295898
2,SVIM-S,249.66,16.0,2.4013519287109375
5,SPR,252.16,15.92,39.30377960205078
5,P+,255.0,15.98,1.2211799621582031
5,P±,253.98,15.98,1.2199878692626953
5,SRWR,248.74,15.98,1047.7964878082275
5,SVIM-L,249.78,16.0,11.116504669189453
5,SVIM-S,248.56,15.98,2.713918685913086
10,SPR,256.88,15.98,38.3753776550293
10,P+,257.08,16.0,1.1487007141113281
10,P±,256.74,16.0,1.7001628875732422
10,SRWR,251.08,16.0,1020.6313133239746
10,SVIM-L,250.22,15.96,7.917642593383789
10,SVIM-S,248.62,16.0,2.529621124267578
15,SPR,259.26,15.94,38.228511810302734
15,P+,258.6,16.0,1.7702579498291016
15,P±,259.56,15.98,1.1718273162841797
15,SRWR,251.72,15.98,882.4176788330078
15,SVIM-L,252.12,15.98,8.312702178955078
15,SVIM-S,250.98,15.98,2.320528030395508
20,SPR,261.24,16.0,39.66331481933594
20,P+,262.08,16.0,1.2044906616210938
20,P±,260.12,16.0,1.1639595031738281
20,SRWR,256.06,15.98,1024.0647792816162
20,SVIM-L,255.4,16.0,8.133172988891602
20,SVIM-S,254.14,16.0,2.543210983276367
30,SPR,265.58,15.9,39.05820846557617
30,P+,265.64,16.0,0.6306171417236328
30,P±,269.94,15.98,1.1661052703857422
30,SRWR,256.8,16.0,849.0386009216309
30,SVIM-L,256.8,15.98,8.908748626708984
30,SVIM-S,255.2,16.0,2.4290084838867188
40,SPR,269.6,15.9,38.35034370422363
40,P+,273.44,15.96,1.6961097717285156
40,P±,273.44,16.0,1.1854171752929688
40,SRWR,257.52,15.98,971.2440967559814
40,SVIM-L,257.96,16.0,7.70878791809082
40,SVIM-S,258.18,16.0,2.7799606323242188
50,SPR,274.42,15.92,38.63883018493652
50,P+,278.12,16.0,1.0781288146972656
50,P±,276.2,16.0,1.911163330078125
50,SRWR,266.34,15.96,951.3728618621826
50,SVIM-L,261.52,15.98,7.85517692565918
50,SVIM-S,262.38,16.0,2.3877620697021484
